Player,Year,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Sean Green,1992,141,22,42.0,13.0,6.0,62,158,256.0,35,2.0,10.0,60,148
Carl Herrera,1992,191,27,99.0,16.0,25.0,83,161,566.0,43,0.0,1.0,83,160
Donald Hodge,1992,426,39,275.0,25.0,23.0,163,328,1058.0,51,0.0,0.0,163,328
Brian Howard,1992,131,14,51.0,11.0,8.0,54,104,318.0,27,1.0,2.0,53,102
Cedric Hunter,1992,0,0,0.0,0.0,0.0,0,0,1.0,1,0.0,0.0,0,0
Mike Iuzzolino,1992,486,194,98.0,33.0,1.0,160,355,1280.0,52,59.0,136.0,101,219
Rich King,1992,88,12,49.0,4.0,5.0,27,71,213.0,40,0.0,1.0,27,70
Doug Lee,1992,120,22,35.0,11.0,1.0,50,116,307.0,46,10.0,37.0,40,79
Luc Longley,1992,281,53,257.0,35.0,64.0,114,249,991.0,66,0.0,0.0,114,249
Kevin Lynch,1992,224,83,85.0,37.0,9.0,93,223,819.0,55,3.0,8.0,90,215
Mark Macon,1992,805,168,220.0,154.0,14.0,333,889,2304.0,76,4.0,30.0,329,859
Tharon Mayes,1992,99,35,16.0,16.0,2.0,30,99,255.0,24,15.0,41.0,15,58
Rodney Monroe,1992,131,27,33.0,12.0,2.0,53,144,313.0,38,6.0,27.0,47,117
Tracy Moore,1992,355,48,82.0,32.0,4.0,130,325,782.0,42,30.0,84.0,100,241
Eric Murdock,1992,203,92,54.0,30.0,7.0,76,183,478.0,50,5.0,26.0,71,157
Dikembe Mutombo*,1992,1177,156,870.0,43.0,210.0,428,869,2716.0,71,0.0,0.0,428,869
Jimmy Oliver,1992,96,20,27.0,9.0,2.0,39,98,252.0,27,1.0,9.0,38,89
Billy Owens,1992,1141,188,639.0,90.0,65.0,468,891,2510.0,80,1.0,9.0,467,882
Keith Owens,1992,26,3,15.0,5.0,4.0,9,32,80.0,20,0.0,0.0,9,32
Robert Pack,1992,332,140,97.0,40.0,4.0,115,272,894.0,72,0.0,10.0,115,262
Elliot Perry,1992,126,78,39.0,34.0,3.0,49,129,437.0,50,1.0,7.0,48,122
Bobby Phills,1992,31,4,8.0,3.0,1.0,12,28,65.0,10,0.0,2.0,12,26
Mark Randall,1992,171,33,71.0,12.0,3.0,68,149,441.0,54,3.0,16.0,65,133
Stanley Roberts,1992,573,39,336.0,22.0,83.0,236,446,1118.0,55,0.0,1.0,236,445
Doug Smith,1992,671,129,391.0,62.0,34.0,291,702,1707.0,76,0.0,11.0,291,691
LaBradford Smith,1992,247,99,81.0,44.0,1.0,100,246,708.0,48,2.0,21.0,98,225
Steve Smith,1992,729,278,188.0,59.0,19.0,297,654,1806.0,61,40.0,125.0,257,529
Larry Stewart,1992,794,120,449.0,51.0,44.0,303,590,2229.0,76,0.0,3.0,303,587
Derek Strong,1992,3,1,5.0,0.0,0.0,0,4,12.0,1,0.0,0.0,0,4
Lamont Strothers,1992,10,1,1.0,1.0,1.0,4,12,17.0,4,0.0,2.0,4,10
Greg Sutton,1992,246,91,47.0,26.0,9.0,93,240,601.0,67,26.0,89.0,67,151
Carl Thomas,1992,12,1,0.0,1.0,0.0,5,12,31.0,1,1.0,2.0,4,10
Charles Thomas,1992,48,22,22.0,4.0,1.0,18,51,156.0,36,2.0,17.0,16,34
Stephen Thompson,1992,31,8,19.0,6.0,3.0,14,37,91.0,19,0.0,1.0,14,36
John Turner,1992,117,12,78.0,6.0,4.0,43,98,345.0,42,0.0,0.0,43,98
Joao Vianna,1992,2,2,0.0,0.0,0.0,1,2,9.0,1,0.0,0.0,1,2
Eric Anderson,1993,21,3,14.0,3.0,1.0,5,18,44.0,16,0.0,0.0,5,18
Anthony Avent,1993,806,91,512.0,57.0,73.0,347,802,2285.0,82,0.0,2.0,347,800
Jon Barry,1993,206,68,43.0,35.0,3.0,76,206,552.0,47,21.0,63.0,55,143
Tony Bennett,1993,276,136,63.0,30.0,0.0,110,260,857.0,75,26.0,80.0,84,180
Alex Blackwell,1993,34,7,23.0,4.0,2.0,14,42,109.0,27,0.0,3.0,14,39
Ricky Blanton,1993,6,1,3.0,2.0,0.0,3,7,13.0,2,0.0,0.0,3,7
Walter Bond,1993,590,122,196.0,75.0,18.0,227,565,1578.0,74,7.0,42.0,220,523
Dexter Cambridge,1993,370,58,167.0,24.0,6.0,151,312,885.0,53,0.0,4.0,151,308
Doug Christie,1993,142,53,51.0,22.0,5.0,45,106,332.0,23,2.0,12.0,43,94
Duane Cooper,1993,156,150,50.0,18.0,2.0,62,158,645.0,65,7.0,30.0,55,128
Joe Courtney,1993,33,3,19.0,5.0,5.0,13,32,104.0,12,0.0,0.0,13,32
John Crotty,1993,102,55,17.0,11.0,0.0,37,72,243.0,40,2.0,14.0,35,58
Radisav Curcic,1993,58,12,49.0,7.0,2.0,16,41,166.0,20,0.0,0.0,16,41
Lloyd Daniels,1993,701,148,216.0,38.0,30.0,285,644,1573.0,77,59.0,177.0,226,467
Hubert Davis,1993,269,83,56.0,22.0,4.0,110,251,815.0,50,6.0,19.0,104,232
Todd Day,1993,983,117,291.0,75.0,48.0,358,828,1931.0,71,54.0,184.0,304,644
Richard Dumas,1993,757,60,223.0,85.0,39.0,302,576,1320.0,48,1.0,3.0,301,573
Pat Durham,1993,21,4,14.0,1.0,1.0,6,25,78.0,5,0.0,0.0,6,25
LaPhonso Ellis,1993,1205,151,744.0,72.0,111.0,483,958,2749.0,82,2.0,13.0,481,945
Matt Geiger,1993,214,14,120.0,15.0,18.0,76,145,554.0,48,0.0,4.0,76,141
Litterial Green,1993,235,116,34.0,23.0,4.0,87,198,626.0,52,1.0,10.0,86,188
Tom Gugliotta,1993,1187,306,781.0,134.0,35.0,484,1135,2795.0,81,38.0,135.0,446,1000
Jay Guidinger,1993,51,17,64.0,9.0,10.0,19,55,215.0,32,0.0,0.0,19,55
Robert Horry,1993,801,191,392.0,80.0,83.0,323,682,2330.0,79,12.0,47.0,311,635
Byron Houston,1993,421,69,315.0,44.0,43.0,145,325,1274.0,79,2.0,7.0,143,318
Stephen Howard,1993,104,10,60.0,15.0,12.0,35,93,260.0,49,0.0,0.0,35,93
Jim Jackson,1993,457,131,122.0,40.0,11.0,184,466,938.0,28,21.0,73.0,163,393
Keith Jennings,1993,69,23,11.0,4.0,0.0,25,42,136.0,8,5.0,9.0,20,33
Dave Johnson,1993,157,13,48.0,8.0,1.0,57,149,356.0,42,3.0,14.0,54,135
Thomas Jordan,1993,44,3,19.0,3.0,5.0,18,41,106.0,4,0.0,0.0,18,41
Adam Keefe,1993,542,80,432.0,57.0,16.0,188,376,1549.0,82,0.0,1.0,188,375
Christian Laettner,1993,1472,223,708.0,105.0,83.0,503,1061,2823.0,81,4.0,40.0,499,1021
Sam Mack,1993,142,15,48.0,14.0,5.0,47,118,267.0,40,3.0,22.0,44,96
Don MacLean,1993,407,39,122.0,11.0,4.0,157,361,674.0,62,3.0,6.0,154,355
Marlon Maxey,1993,231,12,164.0,11.0,18.0,93,169,520.0,43,0.0,1.0,93,168
Lee Mayberry,1993,424,273,118.0,59.0,7.0,171,375,1503.0,82,43.0,110.0,128,265
Oliver Miller,1993,313,118,275.0,38.0,100.0,121,255,1069.0,56,0.0,3.0,121,252
Harold Miner,1993,750,73,147.0,34.0,8.0,292,615,1383.0,73,3.0,9.0,289,606
Isaiah Morris,1993,55,4,12.0,3.0,1.0,26,57,102.0,25,0.0,0.0,26,57
Alonzo Mourning*,1993,1639,76,805.0,27.0,271.0,572,1119,2644.0,78,0.0,3.0,572,1116
Tracy Murray,1993,272,11,83.0,8.0,5.0,108,260,495.0,48,21.0,70.0,87,190
Melvin Newbern,1993,119,57,37.0,23.0,1.0,42,113,311.0,33,1.0,8.0,41,105
Shaquille O'Neal*,1993,1893,152,1122.0,60.0,286.0,733,1304,3071.0,81,0.0,2.0,733,1302
Matt Othick,1993,8,7,2.0,1.0,0.0,3,5,39.0,4,2.0,4.0,1,1
Doug Overton,1993,366,157,106.0,31.0,6.0,152,323,990.0,45,3.0,13.0,149,310
Anthony Peeler,1993,802,166,179.0,60.0,14.0,297,634,1656.0,77,46.0,118.0,251,516
Brent Price,1993,262,154,103.0,56.0,3.0,100,279,859.0,68,8.0,48.0,92,231
Anthony Pullard,1993,17,2,8.0,2.0,2.0,8,18,37.0,8,0.0,0.0,8,18
Sean Rooks,1993,970,95,536.0,38.0,81.0,368,747,2087.0,72,0.0,2.0,368,745
Malik Sealy,1993,330,47,112.0,36.0,7.0,136,319,672.0,58,7.0,31.0,129,288
Chris Smith,1993,347,196,96.0,48.0,16.0,125,289,1266.0,80,2.0,14.0,123,275
Reggie Smith,1993,23,1,21.0,4.0,1.0,10,27,68.0,23,0.0,1.0,10,26
Andre Spencer,1993,187,24,81.0,17.0,7.0,73,163,422.0,20,0.0,2.0,73,161
Elmore Spencer,1993,104,8,62.0,8.0,18.0,44,82,280.0,44,0.0,0.0,44,82
Latrell Sprewell,1993,1182,295,271.0,126.0,52.0,449,968,2741.0,77,73.0,198.0,376,770
Barry Stevens,1993,2,0,2.0,0.0,0.0,1,2,6.0,2,0.0,0.0,1,2
Bryant Stith,1993,347,49,124.0,24.0,5.0,124,278,865.0,39,0.0,4.0,124,274
Gundars Vetra,1993,45,6,8.0,2.0,0.0,19,40,89.0,13,3.0,3.0,16,37
Clarence Weatherspoon,1993,1280,147,589.0,85.0,67.0,494,1053,2654.0,82,1.0,4.0,493,1049
Marcus Webb,1993,39,2,10.0,1.0,2.0,13,25,51.0,9,0.0,1.0,13,24
Robert Werdann,1993,53,7,52.0,6.0,4.0,18,59,149.0,28,0.0,1.0,18,58
Corey Williams,1993,81,23,31.0,4.0,2.0,31,85,242.0,35,1.0,3.0,30,82
Lorenzo Williams,1993,36,5,55.0,5.0,17.0,17,36,179.0,27,0.0,0.0,17,36
Walt Williams,1993,1001,178,265.0,66.0,29.0,358,823,1673.0,59,61.0,191.0,297,632
Randy Woods,1993,68,40,14.0,14.0,1.0,23,66,174.0,41,3.0,14.0,20,52
Gary Alexander,1994,19,2,15.0,3.0,0.0,8,14,55.0,11,0.0,0.0,8,14
Vin Baker,1994,1105,163,621.0,60.0,114.0,435,869,2560.0,82,1.0,5.0,434,864
Corie Blount,1994,198,56,194.0,19.0,33.0,76,174,690.0,67,0.0,0.0,76,174
Shawn Bradley,1994,504,98,306.0,45.0,147.0,201,491,1385.0,49,0.0,3.0,201,488
P.J. Brown,1994,450,93,493.0,71.0,93.0,167,402,1950.0,79,1.0,6.0,166,396
Evers Burns,1994,56,9,30.0,6.0,3.0,22,55,143.0,23,0.0,0.0,22,55
Scott Burrell,1994,244,62,132.0,37.0,16.0,98,234,767.0,51,2.0,6.0,96,228
Mitchell Butler,1994,518,77,225.0,54.0,20.0,207,418,1321.0,75,0.0,5.0,207,413
Sam Cassell,1994,440,192,134.0,59.0,7.0,162,388,1122.0,66,26.0,88.0,136,300
Calbert Cheaney,1994,779,126,190.0,63.0,10.0,327,696,1604.0,65,1.0,23.0,326,673
Michael Curry,1994,9,1,1.0,1.0,0.0,3,14,43.0,10,0.0,2.0,3,12
Antonio Davis,1994,626,55,505.0,45.0,84.0,216,425,1732.0,81,0.0,1.0,216,424
Brian Davis,1994,131,22,55.0,16.0,4.0,40,126,374.0,68,1.0,3.0,39,123
Terry Dehere,1994,342,78,68.0,28.0,3.0,129,342,759.0,64,23.0,57.0,106,285
Dell Demps,1994,4,1,0.0,2.0,0.0,2,6,11.0,2,0.0,0.0,2,6
Acie Earl,1994,410,12,247.0,24.0,53.0,151,372,1149.0,74,0.0,1.0,151,371
Bill Edwards,1994,6,4,14.0,3.0,1.0,2,18,44.0,3,0.0,5.0,2,13
Doug Edwards,1994,43,8,18.0,2.0,5.0,17,49,107.0,16,0.0,1.0,17,48
Harold Ellis,1994,424,31,153.0,73.0,2.0,159,292,923.0,49,0.0,4.0,159,288
Alphonso Ford,1994,16,1,0.0,2.0,0.0,7,13,16.0,6,1.0,1.0,6,12
Chad Gallagher,1994,6,0,0.0,0.0,0.0,3,3,3.0,2,0.0,0.0,3,3
Andrew Gaze,1994,22,5,7.0,2.0,1.0,8,17,70.0,7,4.0,8.0,4,9
Ricky Grace,1994,4,1,1.0,0.0,0.0,2,3,8.0,3,0.0,0.0,2,3
Greg Graham,1994,338,66,86.0,61.0,4.0,122,305,889.0,70,2.0,25.0,120,280
Josh Grant,1994,157,24,89.0,18.0,8.0,59,146,382.0,53,17.0,61.0,42,85
Andres Guibert,1994,15,2,16.0,0.0,1.0,6,20,33.0,5,0.0,0.0,6,20
Geert Hammink,1994,2,1,1.0,0.0,0.0,1,3,3.0,1,0.0,0.0,1,3
Anfernee Hardaway,1994,1313,544,439.0,190.0,51.0,509,1092,3015.0,82,50.0,187.0,459,905
Lucious Harris,1994,418,106,157.0,49.0,10.0,162,385,1165.0,77,7.0,33.0,155,352
Antonio Harvey,1994,70,5,59.0,8.0,19.0,29,79,247.0,27,0.0,0.0,29,79
Scott Haskin,1994,55,6,55.0,2.0,15.0,21,45,186.0,27,0.0,0.0,21,45
Skeeter Henry,1994,4,4,2.0,0.0,0.0,1,5,15.0,4,0.0,2.0,1,3
Allan Houston,1994,668,100,120.0,34.0,13.0,272,671,1519.0,79,35.0,117.0,237,554
Lindsey Hunter,1994,843,390,189.0,121.0,10.0,335,893,2172.0,82,69.0,207.0,266,686
Bobby Hurley,1994,134,115,34.0,13.0,1.0,54,146,499.0,19,2.0,16.0,52,130
Stanley Jackson,1994,38,16,27.0,5.0,0.0,17,33,92.0,17,1.0,5.0,16,28
Chris Jent,1994,31,7,15.0,0.0,0.0,13,26,78.0,3,4.0,11.0,9,15
Ervin Johnson,1994,117,7,118.0,10.0,22.0,44,106,280.0,45,0.0,0.0,44,106
Popeye Jones,1994,468,99,605.0,61.0,31.0,195,407,1773.0,81,0.0,1.0,195,406
Adonis Jordan,1994,15,19,6.0,0.0,1.0,6,23,79.0,6,3.0,10.0,3,13
Reggie Jordan,1994,125,26,67.0,14.0,5.0,44,103,259.0,23,2.0,4.0,42,99
Warren Kidd,1994,247,19,233.0,19.0,23.0,100,169,884.0,68,0.0,0.0,100,169
Chris King,1994,55,11,15.0,4.0,0.0,19,48,86.0,15,2.0,7.0,17,41
Toni Kukoc,1994,814,252,297.0,81.0,33.0,313,726,1808.0,75,32.0,118.0,281,608
George Lynch,1994,681,96,410.0,102.0,27.0,291,573,1762.0,71,0.0,5.0,291,568
Malcolm Mackey,1994,32,1,24.0,0.0,3.0,14,37,69.0,22,0.0,2.0,14,35
Gerald Madkins,1994,35,19,11.0,9.0,0.0,11,31,149.0,22,5.0,15.0,6,16
Bob Martin,1994,111,17,117.0,8.0,33.0,40,88,535.0,53,0.0,0.0,40,88
Jamal Mashburn,1994,1513,266,353.0,89.0,14.0,561,1382,2896.0,79,85.0,299.0,476,1083
Darnell Mee,1994,73,16,35.0,15.0,13.0,28,88,285.0,38,5.0,24.0,23,64
Chris Mills,1994,743,128,401.0,54.0,50.0,284,677,2022.0,79,38.0,122.0,246,555
Darren Morningstar,1994,96,15,81.0,14.0,2.0,39,82,367.0,23,0.0,0.0,39,82
Gheorghe Muresan,1994,304,18,192.0,28.0,48.0,128,235,650.0,54,0.0,0.0,128,235
Bo Outlaw,1994,257,36,212.0,36.0,37.0,98,167,871.0,37,0.0,2.0,98,165
Mike Peplowski,1994,176,24,169.0,17.0,25.0,76,141,667.0,55,0.0,1.0,76,140
Richard Petruska,1994,53,1,31.0,2.0,3.0,20,46,92.0,22,7.0,15.0,13,31
Dino Radja,1994,1208,114,577.0,70.0,67.0,491,942,2303.0,80,0.0,1.0,491,941
Isaiah Rider,1994,1313,202,315.0,54.0,28.0,522,1115,2415.0,79,54.0,150.0,468,965
Eric Riley,1994,88,9,59.0,5.0,9.0,34,70,219.0,47,0.0,1.0,34,69
James Robinson,1994,276,68,78.0,30.0,15.0,104,285,673.0,58,23.0,73.0,81,212
Rodney Rogers,1994,640,101,226.0,63.0,48.0,239,545,1406.0,79,35.0,92.0,204,453
Bryon Russell,1994,334,54,181.0,68.0,19.0,135,279,1121.0,67,2.0,22.0,133,257
Kevin Thompson,1994,13,3,13.0,0.0,2.0,6,14,58.0,14,0.0,1.0,6,13
Keith Tower,1994,8,1,6.0,0.0,0.0,4,9,32.0,11,0.0,0.0,4,9
Nick Van,1994,1099,466,238.0,85.0,8.0,413,1049,2700.0,81,123.0,364.0,290,685
Rex Walters,1994,162,71,38.0,15.0,3.0,60,115,386.0,48,14.0,28.0,46,87
Chris Webber,1994,1333,272,694.0,93.0,164.0,572,1037,2438.0,76,0.0,14.0,572,1023
Matt Wenstrom,1994,18,0,12.0,0.0,2.0,6,10,37.0,11,0.0,0.0,6,10
David Wesley,1994,183,123,44.0,38.0,4.0,64,174,542.0,60,11.0,47.0,53,127
Chris Whitney,1994,72,53,29.0,11.0,1.0,25,82,339.0,40,10.0,30.0,15,52
Aaron Williams,1994,4,1,3.0,0.0,0.0,2,8,12.0,6,0.0,0.0,2,8
Luther Wright,1994,19,0,10.0,1.0,2.0,8,23,92.0,15,0.0,1.0,8,22
Derrick Alston,1995,299,33,219.0,39.0,35.0,120,258,1032.0,64,0.0,4.0,120,254
Darrell Armstrong,1995,10,3,1.0,1.0,0.0,3,8,8.0,3,2.0,6.0,1,2
Sergei Bazarevich,1995,30,14,7.0,1.0,1.0,11,22,74.0,10,1.0,6.0,10,16
Elmer Bennett,1995,15,3,1.0,4.0,0.0,6,11,18.0,4,0.0,2.0,6,9
James Blackwell,1995,18,11,11.0,4.0,0.0,8,13,80.0,13,0.0,0.0,8,13
Tim Breaux,1995,128,15,34.0,11.0,4.0,45,121,340.0,42,6.0,25.0,39,96
Chris Childs,1995,308,219,69.0,42.0,3.0,106,279,1021.0,53,41.0,125.0,65,154
Bill Curley,1995,143,25,124.0,21.0,21.0,58,134,595.0,53,0.0,0.0,58,134
Yinka Dare,1995,0,0,1.0,0.0,0.0,0,1,3.0,1,0.0,0.0,0,1
Tony Dumas,1995,264,57,62.0,13.0,4.0,96,250,613.0,58,22.0,73.0,74,177
Howard Eisley,1995,120,95,48.0,18.0,6.0,40,122,552.0,49,9.0,37.0,31,85
Matt Fish,1995,123,17,84.0,16.0,7.0,49,103,370.0,26,0.0,1.0,49,102
Brian Grant,1995,1058,99,598.0,49.0,116.0,413,809,2289.0,80,1.0,4.0,412,805
Darrin Hancock,1995,153,30,53.0,19.0,4.0,68,121,424.0,46,1.0,3.0,67,118
Jerome Harmon,1995,46,12,23.0,9.0,0.0,21,53,158.0,10,1.0,1.0,20,52
Grant Hill,1995,1394,353,445.0,124.0,62.0,508,1064,2678.0,70,4.0,27.0,504,1037
Tom Hovasse,1995,0,0,0.0,1.0,0.0,0,1,4.0,2,0.0,1.0,0,0
Juwan Howard,1995,1104,165,545.0,52.0,15.0,455,931,2348.0,65,0.0,7.0,455,924
Askia Jones,1995,45,16,11.0,6.0,0.0,15,44,139.0,11,2.0,12.0,13,32
Eddie Jones,1995,897,128,249.0,131.0,41.0,342,744,1981.0,64,91.0,246.0,251,498
Jason Kidd,1995,922,607,430.0,151.0,24.0,330,857,2668.0,79,70.0,257.0,260,600
Antonio Lang,1995,11,1,4.0,0.0,2.0,4,10,53.0,12,0.0,0.0,4,10
Ryan Lorthridge,1995,272,101,71.0,28.0,1.0,106,223,672.0,37,3.0,14.0,103,209
Donyell Marshall,1995,906,105,405.0,45.0,88.0,345,876,2086.0,72,69.0,243.0,276,633
Darrick Martin,1995,254,133,64.0,34.0,0.0,95,233,803.0,34,7.0,38.0,88,195
Jim McIlvaine,1995,96,10,105.0,10.0,60.0,34,71,534.0,55,0.0,0.0,34,71
Aaron McKie,1995,293,89,129.0,36.0,16.0,116,261,827.0,45,11.0,28.0,105,233
Anthony Miller,1995,189,35,152.0,20.0,7.0,70,132,527.0,46,2.0,5.0,68,127
Greg Minor,1995,377,66,137.0,32.0,16.0,155,301,945.0,63,2.0,12.0,153,289
Eric Mobley,1995,180,21,153.0,8.0,27.0,78,132,587.0,46,2.0,2.0,76,130
Eric Montross,1995,781,36,566.0,29.0,61.0,307,575,2315.0,78,0.0,1.0,307,574
Dwayne Morton,1995,167,18,58.0,11.0,15.0,50,129,395.0,41,9.0,25.0,41,104
Lamond Murray,1995,1142,133,354.0,72.0,55.0,439,1093,2556.0,81,65.0,218.0,374,875
Ivano Newbill,1995,40,17,81.0,12.0,11.0,16,45,331.0,34,0.0,0.0,16,45
Julius Nwosu,1995,31,3,24.0,0.0,3.0,9,28,84.0,23,0.0,0.0,9,28
Wesley Person,1995,814,105,201.0,48.0,24.0,309,638,1800.0,78,116.0,266.0,193,372
Derrick Phelps,1995,0,1,0.0,0.0,0.0,0,1,5.0,3,0.0,0.0,0,1
Eric Piatkowski,1995,566,77,133.0,37.0,15.0,201,456,1208.0,81,74.0,198.0,127,258
Eldridge Recasner,1995,6,1,2.0,3.0,0.0,1,6,13.0,3,0.0,1.0,1,5
Khalid Reeves,1995,619,288,186.0,77.0,10.0,206,465,1462.0,67,67.0,171.0,139,294
Glenn Robinson,1995,1755,197,513.0,115.0,22.0,636,1410,2958.0,80,86.0,268.0,550,1142
Carlos Rogers,1995,438,37,278.0,22.0,52.0,180,340,1017.0,49,2.0,14.0,178,326
Jalen Rose,1995,663,389,217.0,65.0,22.0,227,500,1798.0,81,36.0,114.0,191,386
Clifford Rozier,1995,448,45,486.0,35.0,39.0,189,390,1494.0,66,2.0,7.0,187,383
Trevor Ruffin,1995,233,48,23.0,14.0,2.0,84,197,319.0,49,38.0,99.0,46,98
Dickey Simpkins,1995,206,37,151.0,10.0,7.0,78,184,586.0,59,0.0,0.0,78,184
Reggie Slater,1995,120,12,57.0,7.0,3.0,40,81,236.0,25,0.0,0.0,40,81
Mark Strickland,1995,3,0,4.0,0.0,1.0,1,3,9.0,4,0.0,0.0,1,3
Aaron Swinson,1995,24,3,8.0,1.0,0.0,10,18,51.0,9,0.0,0.0,10,18
Zan Tabak,1995,75,4,57.0,2.0,7.0,24,53,182.0,37,0.0,1.0,24,52
Brooks Thompson,1995,116,43,23.0,10.0,2.0,45,114,246.0,38,18.0,58.0,27,56
Anthony Tucker,1995,243,68,170.0,46.0,11.0,96,210,982.0,62,0.0,1.0,96,209
B.J. Tyler,1995,195,174,62.0,36.0,2.0,72,189,809.0,55,16.0,51.0,56,138
Fred Vinson,1995,4,1,0.0,0.0,0.0,1,7,27.0,5,1.0,6.0,0,1
Charlie Ward,1995,16,4,6.0,2.0,0.0,4,19,44.0,10,1.0,10.0,3,9
Jamie Watson,1995,195,59,74.0,35.0,11.0,76,152,673.0,60,5.0,19.0,71,133
Monty Williams,1995,137,49,98.0,20.0,4.0,60,133,503.0,41,0.0,8.0,60,125
Dontonio Wingfield,1995,46,3,30.0,5.0,3.0,18,51,81.0,20,2.0,12.0,16,39
Sharone Wright,1995,904,48,472.0,37.0,104.0,361,776,2044.0,79,0.0,8.0,361,768
Cory Alexander,1996,168,121,42.0,27.0,2.0,63,155,560.0,60,26.0,66.0,37,89
Jerome Allen,1996,108,49,25.0,21.0,5.0,36,105,362.0,41,10.0,33.0,26,72
John Amaechi,1996,77,9,52.0,6.0,11.0,29,70,357.0,28,0.0,0.0,29,70
Ashraf Amaya,1996,339,33,303.0,22.0,10.0,121,252,1104.0,54,0.0,1.0,121,251
Brent Barry,1996,800,230,168.0,95.0,22.0,283,597,1898.0,79,123.0,296.0,160,301
Corey Beck,1996,5,5,7.0,1.0,0.0,2,8,33.0,5,0.0,0.0,2,8
Mario Bennett,1996,85,6,49.0,11.0,11.0,29,64,230.0,19,0.0,1.0,29,63
Travis Best,1996,221,97,44.0,20.0,3.0,69,163,571.0,59,8.0,25.0,61,138
Melvin Booker,1996,44,21,9.0,5.0,1.0,16,50,131.0,11,3.0,19.0,13,31
Donnie Boyce,1996,24,3,10.0,3.0,1.0,9,23,41.0,8,4.0,8.0,5,15
Marques Bragg,1996,131,8,79.0,17.0,8.0,54,120,369.0,53,0.0,0.0,54,120
Junior Burrough,1996,189,15,109.0,15.0,10.0,64,170,495.0,61,0.0,0.0,64,170
Jason Caffey,1996,182,24,111.0,12.0,7.0,71,162,545.0,57,0.0,1.0,71,161
Chris Carr,1996,240,43,102.0,10.0,5.0,90,217,590.0,60,11.0,42.0,79,175
Randolph Childress,1996,85,32,19.0,8.0,1.0,25,79,250.0,28,13.0,47.0,12,32
Robert Churchwell,1996,6,1,3.0,0.0,0.0,3,8,20.0,4,0.0,0.0,3,8
Charles Claxton,1996,2,0,2.0,0.0,1.0,1,2,7.0,3,0.0,0.0,1,2
John Coker,1996,8,1,2.0,0.0,1.0,4,5,11.0,5,0.0,0.0,4,5
Rastko Cvetkovic,1996,10,3,11.0,2.0,1.0,5,16,48.0,14,0.0,1.0,5,15
Sasha Danilovic,1996,255,47,46.0,15.0,3.0,83,184,542.0,19,34.0,78.0,49,106
Andrew DeClercq,1996,59,9,39.0,7.0,5.0,24,50,203.0,22,0.0,1.0,24,49
Tyus Edney,1996,860,491,201.0,89.0,3.0,305,740,2481.0,80,53.0,144.0,252,596
Vincenzo Esposito,1996,116,23,16.0,7.0,0.0,36,100,282.0,30,13.0,56.0,23,44
Michael Finley,1996,1233,289,374.0,85.0,31.0,465,976,3212.0,82,61.0,186.0,404,790
Sherell Ford,1996,90,5,24.0,8.0,1.0,30,80,139.0,28,4.0,25.0,26,55
Kevin Garnett,1996,835,145,501.0,86.0,131.0,361,735,2293.0,80,8.0,28.0,353,707
Anthony Goldwire,1996,231,112,43.0,16.0,0.0,76,189,621.0,42,33.0,83.0,43,106
Thomas Hamilton,1996,25,1,22.0,0.0,9.0,9,31,70.0,11,0.0,0.0,9,31
Alvin Heggs,1996,8,0,2.0,0.0,0.0,3,5,14.0,4,0.0,0.0,3,5
Alan Henderson,1996,503,51,356.0,44.0,43.0,192,434,1416.0,79,0.0,3.0,192,431
Fred Hoiberg,1996,32,8,9.0,6.0,1.0,8,19,85.0,15,1.0,3.0,7,16
Darryl Johnson,1996,12,1,2.0,0.0,0.0,5,12,28.0,11,0.0,1.0,5,11
Frankie King,1996,7,2,2.0,2.0,0.0,3,11,20.0,6,0.0,1.0,3,10
Jimmy King,1996,279,88,110.0,21.0,13.0,110,255,868.0,62,5.0,34.0,105,221
Voshon Lenard,1996,176,31,52.0,6.0,1.0,53,141,323.0,30,36.0,101.0,17,40
Cedric Lewis,1996,4,0,2.0,1.0,0.0,2,3,4.0,3,0.0,0.0,2,3
Martin Lewis,1996,75,3,29.0,8.0,3.0,29,60,189.0,16,2.0,7.0,27,53
Rich Manning,1996,107,7,55.0,3.0,6.0,49,113,311.0,29,0.0,1.0,49,112
Donny Marshall,1996,77,7,26.0,8.0,2.0,24,68,208.0,34,7.0,30.0,17,38
Cuonzo Martin,1996,9,2,2.0,1.0,0.0,3,5,19.0,4,3.0,3.0,0,2
Clint McDaniel,1996,30,7,10.0,5.0,0.0,8,23,71.0,12,2.0,6.0,6,17
Antonio McDyess,1996,1020,75,572.0,54.0,114.0,427,881,2280.0,76,0.0,4.0,427,877
Loren Meyer,1996,363,57,319.0,20.0,32.0,145,330,1266.0,72,3.0,11.0,142,319
Lawrence Moten,1996,291,50,61.0,29.0,8.0,112,247,573.0,44,18.0,55.0,94,192
Todd Mundt,1996,37,3,28.0,2.0,5.0,16,41,151.0,33,0.0,0.0,16,41
Howard Nathan,1996,13,2,0.0,3.0,0.0,5,9,15.0,5,0.0,1.0,5,8
Ed O'Bannon,1996,399,63,168.0,44.0,11.0,156,400,1253.0,64,10.0,56.0,146,344
Greg Ostertag,1996,208,5,175.0,5.0,63.0,86,182,661.0,57,0.0,0.0,86,182
